Series Name,"Country Name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Population ages 30-34, male","Canada","640209","639865","638052","635659","632896","629733","627609","627694","630598","638115","653865","682929","706775","737596","775811","820180","859804","903049","946810","987141","1023146","1049640","1067782","1079905","1093725","1112310","1136317","1167907","1201883","1241435","1273924","1297563","1317656","1330714","1333078","1321384","1298136","1261700","1216666","1174261","1141936","1121592","1109473","1102552","1100278","1099889","1103251","1108947","1118088","1130958","1147916","1165604","1190616","1218671","1243696","1257783","1272482","1279970","1287939"
"Population ages 35-39, female","Canada","626980","632618","634964","635702","635977","635739","631137","626897","623069","619483","617953","628408","627524","628552","635321","649495","668669","692499","719398","749665","785889","827795","873645","918258","958620","992910","1026173","1056870","1082960","1113956","1144347","1173527","1203209","1232057","1259190","1282285","1302697","1321529","1333792","1335998","1327003","1308864","1277193","1235374","1196163","1166096","1143196","1130158","1127536","1131325","1138194","1143018","1152963","1165430","1180541","1196914","1221888","1251737","1285946"
"Population ages 35-39, male","Canada","618015","625628","631122","635622","639704","643077","643476","644718","646016","646399","647647","658577","656482","655792","661460","675821","695267","720182","748535","780061","817047","857831","903088","947286","986571","1018314","1045828","1069418","1088429","1114237","1142152","1170186","1200594","1231445","1261188","1287279","1310700","1333569","1350145","1355886","1349033","1332506","1301170","1259096","1219743","1189576","1164393","1149104","1144462","1145924","1149183","1147894","1151100","1157516","1168182","1181478","1206020","1236764","1272820"
"Population ages 40-44, female","Canada","549056","561984","576828","592984","608036","619863","628011","632658","632997","629584","625686","633541","629869","627628","627885","629567","629377","629789","632347","639728","654368","672146","694484","720716","751756","786665","825356","871901","921134","973654","1018838","1055322","1084123","1107569","1131382","1157903","1186456","1217110","1246653","1274124","1299531","1322708","1344765","1360455","1367444","1361724","1341128","1305495","1263143","1224333","1195720","1170339","1159159","1158748","1163590","1167209","1177118","1188425","1204521"
"Population ages 40-44, male","Canada","551975","560796","571544","584347","597685","609812","619372","627895","634045","637312","640031","652074","652286","653501","656428","659772","658986","657677","658244","664418","679126","695555","717271","743342","774431","809535","848236","894986","943928","994875","1036690","1067786","1089747","1106187","1124694","1148631","1175521","1206875","1239091","1270233","1299554","1327971","1355373","1375984","1387043","1384431","1364835","1329049","1285515","1244827","1214011","1186150","1171603","1166628","1165928","1163767","1170039","1178218","1191822"
"Population ages 45-49, female","Canada","487012","498065","506767","514668","523906","535543","549602","567164","585626","600796","611671","631026","633289","630945","627889","626170","625107","624856","624365","623603","624531","627071","629508","632020","637735","648377","664718","688316","716726","753723","793724","837810","886516","936747","984566","1026253","1060738","1089041","1112355","1136268","1164628","1195484","1226889","1255467","1282759","1307909","1330003","1351832","1371898","1383115","1380074","1357194","1320151","1273803","1229582","1193533","1177008","1172803","1180529"
"Population ages 45-49, male","Canada","505955","513070","517366","520688","525584","533487","542967","556945","573196","588052","600730","621107","626561","628845","630901","634058","637143","640487","642721","643757","645839","647514","648169","648409","652153","661626","678206","702443","731530","768983","808937","851107","898290","947080","992935","1031841","1062582","1085732","1103383","1122630","1148345","1179637","1213764","1246485","1278516","1308670","1334881","1361166","1385367","1399674","1398362","1375669","1337424","1289407","1243415","1205148","1185734","1178350","1182714"
"Population ages 50-54, female","Canada","407959","420479","434008","448801","463755","477312","488972","498185","505466","512734","523081","545548","562563","582548","602413","618129","626081","628019","625444","622013","621190","621956","623130","623402","623226","622507","621238","622634","625929","636514","650917","671182","695535","723700","756696","794443","836201","884000","933157","979419","1020895","1057901","1088206","1112628","1137810","1165588","1192716","1219437","1247149","1274943","1301631","1327570","1355853","1378721","1387785","1376154","1356188","1320606","1279734"
"Population ages 50-54, male","Canada","431616","441960","452996","465018","477016","487553","494007","498405","501327","504810","512064","530331","543560","560252","577999","593372","602515","607897","610467","612713","617178","621323","625405","627950","629366","629557","629109","630607","633584","643982","658508","676621","698715","724683","755749","792051","833948","882897","933444","980104","1020229","1051589","1075735","1095257","1118204","1146575","1174279","1203251","1234529","1266565","1297612","1330193","1363524","1389110","1399012","1387427","1366240","1330216","1289355"
"Population ages 55-59, female","Canada","338183","347714","357463","367890","379343","391898","407092","424176","441443","456417","468961","486700","491657","494781","500859","512374","529596","551561","574430","593700","608229","617624","621732","621260","619794","618803","615916","615761","616199","619950","621990","623885","626508","631219","640501","654934","671548","692711","717817","748166","784778","828871","878088","927109","973138","1013424","1047353","1074950","1099934","1125532","1153012","1178566","1208198","1239882","1271392","1297676","1326131","1353814","1379113"
